image,label
liuStyle_上.png,liuStyle
liuStyle_下.png,liuStyle
liuStyle_不.png,liuStyle
liuStyle_且.png,liuStyle
liuStyle_世.png,liuStyle
liuStyle_丙.png,liuStyle
liuStyle_並.png,liuStyle
liuStyle_乎.png,liuStyle
liuStyle_九.png,liuStyle
liuStyle_事.png,liuStyle
liuStyle_二.png,liuStyle
liuStyle_云.png,liuStyle
liuStyle_五.png,liuStyle
liuStyle_亡.png,liuStyle
liuStyle_京.png,liuStyle
liuStyle_亭.png,liuStyle
liuStyle_人.png,liuStyle
liuStyle_仁.png,liuStyle
liuStyle_仕.png,liuStyle
liuStyle_仙.png,liuStyle
liuStyle_令.png,liuStyle
liuStyle_以.png,liuStyle
liuStyle_仰.png,liuStyle
liuStyle_任.png,liuStyle
liuStyle_伊.png,liuStyle
liuStyle_伏.png,liuStyle
liuStyle_伯.png,liuStyle
liuStyle_似.png,liuStyle
liuStyle_位.png,liuStyle
liuStyle_佐.png,liuStyle
liuStyle_何.png,liuStyle
liuStyle_作.png,liuStyle
liuStyle_佳.png,liuStyle
liuStyle_使.png,liuStyle
liuStyle_侈.png,liuStyle
liuStyle_侍.png,liuStyle
liuStyle_俊.png,liuStyle
liuStyle_俗.png,liuStyle
liuStyle_信.png,liuStyle
liuStyle_修.png,liuStyle
liuStyle_俯.png,liuStyle
liuStyle_俶.png,liuStyle
liuStyle_倫.png,liuStyle
liuStyle_假.png,liuStyle
liuStyle_傅.png,liuStyle
liuStyle_傍.png,liuStyle
liuStyle_傷.png,liuStyle
liuStyle_傾.png,liuStyle
liuStyle_僚.png,liuStyle
liuStyle_儀.png,liuStyle
liuStyle_優.png,liuStyle
liuStyle_兄.png,liuStyle
liuStyle_充.png,liuStyle
liuStyle_光.png,liuStyle
liuStyle_克.png,liuStyle
liuStyle_兒.png,liuStyle
liuStyle_入.png,liuStyle
liuStyle_內.png,liuStyle
liuStyle_兩.png,liuStyle
liuStyle_八.png,liuStyle
liuStyle_公.png,liuStyle
liuStyle_其.png,liuStyle
liuStyle_兹.png,liuStyle
liuStyle_再.png,liuStyle
liuStyle_冠.png,liuStyle
liuStyle_冥.png,liuStyle
liuStyle_凊.png,liuStyle
liuStyle_凋.png,liuStyle
liuStyle_出.png,liuStyle
